State,Mountain_Name,Elevation,Latitude / Longitude
Iowa,Lime Kiln Point,438 m,43.358 / -95.148
Iowa,Des Moines Beach,437 m,43.377 / -95.134
Iowa,Maywood Beach,435 m,43.352 / -95.149
Iowa,Pillsbury Point,434 m,43.367 / -95.141
Iowa,Gilleys Beach,433 m,43.362 / -95.143
Kansas,Mount Sunflower  ,"1,230 m",39.022 / -102.037
Kansas,Rock Hill,"1,185 m",38.79 / -101.973
Kansas,Horsethief Draw,"1,128 m",39.049 / -101.939
Kansas,Salt Grass Canyon,"1,126 m",39.04 / -101.923
Kansas,Clough Valley,"1,125 m",39.826 / -102.002
Kansas,Pasture Number Eighteen,"1,119 m",37.149 / -102.03
Kansas,Stateline Pasture,"1,119 m",37.006 / -102.017
Kansas,Unit One Pasture,"1,118 m",37.107 / -102.038
Kansas,Meyers Draw,"1,118 m",39.046 / -101.907
Kansas,Pasture Number Fortyseven,"1,116 m",37.208 / -102.034
Kentucky,Black Mountain  ,"1,259 m",36.914 / -82.894
Kentucky,Big Ridge,"1,227 m",36.918 / -82.9
Kentucky,Grassy Gap,"1,215 m",36.916 / -82.888
Kentucky,Sugar Gap,"1,185 m",36.918 / -82.909
Kentucky,Rockhouse Ridge,"1,174 m",36.9 / -82.935
Kentucky,Yellow Buck Spur,"1,160 m",36.902 / -82.933
Kentucky,Potato Hill,"1,123 m",36.887 / -82.888
Kentucky,Garrison Gap,"1,098 m",36.912 / -82.901
Kentucky,Little Black Mountain,"1,063 m",36.841 / -83.075
Kentucky,Low Gap,"1,022 m",36.891 / -82.878
Louisiana,Driskill Mountain  ,162 m,32.425 / -92.897
Louisiana,Gentry Hill,147 m,32.41 / -92.898
Louisiana,Jordan Mountain,146 m,32.398 / -92.926
Louisiana,Delaney Mount,139 m,32.93 / -93.747
Louisiana,Mossy Hill,138 m,32.458 / -92.955
Louisiana,Duncan Hill,129 m,32.895 / -93.258
Louisiana,Bull Hill,127 m,32.832 / -93.277
Louisiana,Giddens Hill,124 m,32.559 / -93.528
Louisiana,Eagle Hill  ,115 m,31.4 / -93.284
Louisiana,Negro Foot Hill,113 m,31.404 / -92.973
Maine,Mount Katahdin  ,"1,603 m",45.904 / -68.921
Maine,Baxter Peak,"1,603 m",45.904 / -68.921
Maine,South Peak,"1,594 m",45.902 / -68.917
Maine,Pamola,"1,495 m",45.906 / -68.906
Maine,Knife Edge,"1,491 m",45.905 / -68.906
Maine,Chimney Peak,"1,489 m",45.905 / -68.906
Maine,Hamlin Peak  ,"1,446 m",45.924 / -68.929
Maine,Howe Peaks,"1,431 m",45.933 / -68.924
Maine,York Valley,"1,427 m",45.9 / -68.933
Maine,Table Land,"1,375 m",45.908 / -68.934
Maryland,Hoye-Crest  ,"1,027 m",39.237 / -79.485
Maryland,Roth Rock,979 m,39.266 / -79.456
Maryland,Wild Turkey Rock,978 m,39.428 / -79.259
Maryland,Pheasant Ridge,977 m,39.428 / -79.259
Maryland,Allegheny Heights,972 m,39.333 / -79.379
Maryland,Conneway Hill,970 m,39.305 / -79.413
Maryland,Eagle Rock,952 m,39.415 / -79.279
Maryland,Marsh Hill,948 m,39.549 / -79.369
Maryland,Roman Nose Hill,919 m,39.511 / -79.329
Maryland,Roman Nose Mountain,916 m,39.47 / -79.378
Massachusetts,Mount Greylock  ,"1,063 m",42.637 / -73.166
Massachusetts,Saddle Ball Mountain  ,985 m,42.622 / -73.185
Massachusetts,Greylock Range,947 m,42.633 / -73.166
Massachusetts,Mount Fitch  ,945 m,42.656 / -73.16
Massachusetts,Mount Williams  ,901 m,42.668 / -73.158
Massachusetts,Crum Hill  ,867 m,42.711 / -73.02
Massachusetts,Berlin Mountain  ,852 m,42.692 / -73.286
Massachusetts,Blackpoll Mountain,840 m,42.721 / -73.041
Massachusetts,Spruce Mountain,826 m,42.705 / -73.006
Massachusetts,Mount Prospect,816 m,42.663 / -73.183
Michigan,Mount Arvon  ,601 m,46.756 / -88.155
Michigan,Mount Curwood  ,601 m,46.703 / -88.24
Michigan,Summit Mountain,571 m,46.45 / -87.63
Michigan,Underwood Hill,570 m,46.651 / -89.817
Michigan,Sheridan Hill,560 m,46.027 / -88.706
Michigan,Government Peak,560 m,46.783 / -89.731
Michigan,Wolf Mountain,553 m,46.442 / -89.771
Michigan,Porcupine Peak,530 m,46.689 / -89.85
Michigan,Mount Zion,525 m,46.477 / -90.168
Michigan,Indian Point,523 m,46.199 / -89.392
Minnesota,Eagle Mountain  ,702 m,47.897 / -90.561
Minnesota,Lima Mountain  ,679 m,47.987 / -90.404
Minnesota,Brule Mountain,678 m,47.93 / -90.447
Minnesota,Pine Mountain,667 m,47.895 / -90.326
Minnesota,Misquah Hills  ,659 m,47.983 / -90.55
Minnesota,Kelso Mountain,640 m,47.919 / -90.931
Minnesota,Stony Tower Hill,629 m,47.604 / -91.435
Minnesota,Peabody Hill,614 m,47.47 / -91.608
Minnesota,Moose Mountain,612 m,48.107 / -90.146
Minnesota,Stony Point,600 m,44.122 / -96.12
Mississippi,Woodall Mountain  ,244 m,34.788 / -88.242
Mississippi,Lebanon Mountain,242 m,34.571 / -88.729
Mississippi,Tippah Hills,228 m,34.611 / -88.73
Mississippi,Wicker Mountain,224 m,34.788 / -88.946
Mississippi,Crum Mountain,221 m,34.86 / -88.733
Mississippi,Kitchen Mountain,221 m,34.609 / -88.719
Mississippi,Barnett Knob,219 m,34.743 / -88.291
Mississippi,Bonds Mountain,218 m,34.892 / -88.218
Mississippi,Geeville Mountain,217 m,34.576 / -88.704
Mississippi,Hamer Hill,214 m,34.858 / -89.239
Missouri,Taum Sauk Mountain  ,540 m,37.571 / -90.729
Missouri,Wildcat Mountain  ,536 m,37.568 / -90.755
Missouri,Buford Mountain,531 m,37.697 / -90.689
Missouri,Lead Hill,529 m,37.101 / -92.637
Missouri,Russell Mountain  ,526 m,37.573 / -90.695
Missouri,Bell Mountain,519 m,37.626 / -90.866
Missouri,Proffit Mountain,519 m,37.569 / -90.781
Missouri,Ketcherside Mountain  ,515 m,37.524 / -90.669
Missouri,Hogan Mountain  ,512 m,37.52 / -90.715
Missouri,Keyger Mountain,508 m,36.992 / -92.851
Montana,Granite Peak  ,"3,891 m",45.163 / -109.808
Montana,Beartooth Mountains  ,"3,869 m",45.163 / -109.808
Montana,Castle Mountain  ,"3,842 m",45.099 / -109.63
Montana,Mount Wood  ,"3,838 m",45.275 / -109.813
Montana,Whitetail Peak  ,"3,821 m",45.089 / -109.588
Montana,Silver Run Peak  ,"3,803 m",45.121 / -109.545
Montana,Tempest Mountain  ,"3,791 m",45.167 / -109.792
Montana,Castle Rock Mountain  ,"3,785 m",45.098 / -109.654
Montana,Mount Peal  ,"3,778 m",45.161 / -109.773
Montana,Beartooth Mountain  ,"3,763 m",45.061 / -109.569
Nebraska,Panorama Point  ,"1,653 m",41.011 / -104.03
Nebraska,Hogback Mountain,"1,545 m",41.666 / -103.732
Nebraska,Mount Edna,"1,533 m",42.291 / -103.864
Nebraska,Lovers Leap Butte,"1,500 m",41.522 / -103.747
Nebraska,Table Top Mountain,"1,465 m",41.543 / -103.603
Nebraska,Lone Pine Butte,"1,464 m",41.444 / -103.513
Nebraska,Pants Butte,"1,449 m",42.741 / -103.811
Nebraska,Eagle Nest,"1,446 m",41.767 / -104.015
Nebraska,South Bluff,"1,433 m",41.821 / -103.714
Nebraska,The Horseshoe,"1,426 m",42.083 / -103.726
Nevada,Boundary Peak  ,"4,002 m",37.846 / -118.351
Nevada,Wheeler Peak  ,"3,960 m",38.986 / -114.313
Nevada,Jeff Davis Peak,"3,891 m",38.989 / -114.297
Nevada,South Summit,"3,637 m",38.752 / -116.927
Nevada,North Schell Peak  ,"3,614 m",39.413 / -114.599
Nevada,Baker Peak,"3,612 m",38.97 / -114.317
Nevada,Pyramid Peak,"3,607 m",38.949 / -114.295
Nevada,North Summit Mount Jefferson,"3,601 m",38.795 / -116.927
Nevada,Charleston Peak  ,"3,600 m",36.273 / -115.695
Nevada,Arc Dome  ,"3,590 m",38.832 / -117.353
New Hampshire,Mount Washington  ,"1,916 m",44.27 / -71.303
New Hampshire,White Mountains  ,"1,909 m",44.271 / -71.304
New Hampshire,Mount Adams  ,"1,759 m",44.32 / -71.291
New Hampshire,Agiocochook Crag,"1,746 m",44.279 / -71.291
New Hampshire,Mount Jefferson  ,"1,741 m",44.305 / -71.318
New Hampshire,Mount Clay  ,"1,684 m",44.286 / -71.316
New Hampshire,Mount Sam Adams,"1,682 m",44.322 / -71.3
New Hampshire,Bigelow Lawn,"1,679 m",44.262 / -71.307
New Hampshire,Boott Spur  ,"1,664 m",44.252 / -71.295
New Hampshire,Mount Monroe  ,"1,641 m",44.256 / -71.322
New Jersey,Kittatinny Mountain,551 m,41.321 / -74.662
New Jersey,High Point  ,548 m,41.321 / -74.662
New Jersey,Sunrise Mountain  ,503 m,41.218 / -74.72
New Jersey,Mount Tammany  ,465 m,40.969 / -75.111
New Jersey,Rattlesnake Mountain  ,453 m,41.132 / -74.863
New Jersey,Hamburg Mountains  ,449 m,41.152 / -74.514
New Jersey,Wawayanda Mountain  ,448 m,41.198 / -74.457
New Jersey,Bearfort Mountain  ,447 m,41.14 / -74.392
New Jersey,Bowling Green Mountain,420 m,41.008 / -74.55
New Jersey,Bearfort Mountain,415 m,41.142 / -74.387
New Mexico,Wheeler Peak  ,"4,012 m",36.557 / -105.417
New Mexico,Mount Walter  ,"3,996 m",36.562 / -105.414
New Mexico,Old Mike Peak,"3,989 m",36.546 / -105.407
New Mexico,Middle Truchas Peak,"3,976 m",35.972 / -105.65
New Mexico,Truchas Peak  ,"3,975 m",35.963 / -105.645
New Mexico,North Truchas Peak,"3,956 m",35.979 / -105.632
New Mexico,Simpson Peak  ,"3,953 m",36.549 / -105.414
New Mexico,Lake Fork Peak,"3,929 m",36.55 / -105.445
New Mexico,State Line Peak,"3,918 m",36.996 / -105.296
New Mexico,Chimayosos Peak,"3,908 m",35.975 / -105.609
New York,Mount Marcy  ,"1,626 m",44.113 / -73.924
New York,Algonquin Peak  ,"1,555 m",44.144 / -73.987
New York,Mount Haystack  ,"1,497 m",44.106 / -73.9
New York,Mount Skylight  ,"1,495 m",44.099 / -73.931
New York,Dix Mountain  ,"1,473 m",44.082 / -73.786
New York,Iroquois Peak  ,"1,472 m",44.137 / -73.998
New York,Boundary Peak,"1,471 m",44.14 / -73.994
New York,Basin Mountain  ,"1,468 m",44.121 / -73.886
New York,Whiteface Mountain  ,"1,466 m",44.366 / -73.903
New York,Gray Peak  ,"1,463 m",44.111 / -73.935
North Carolina,Mount Marcy  ,"1,626 m",44.113 / -73.924
North Carolina,Algonquin Peak  ,"1,555 m",44.144 / -73.987
North Carolina,Mount Haystack  ,"1,497 m",44.106 / -73.9
North Carolina,Mount Skylight  ,"1,495 m",44.099 / -73.931
North Carolina,Dix Mountain  ,"1,473 m",44.082 / -73.786
North Carolina,Iroquois Peak  ,"1,472 m",44.137 / -73.998
North Carolina,Boundary Peak,"1,471 m",44.14 / -73.994
North Carolina,Basin Mountain  ,"1,468 m",44.121 / -73.886
North Carolina,Whiteface Mountain  ,"1,466 m",44.366 / -73.903
North Carolina,Gray Peak  ,"1,463 m",44.111 / -73.935
North Dakota,Black Butte,"1,056 m",46.398 / -103.448
North Dakota,White Butte  ,"1,053 m",46.387 / -103.302
North Dakota,Sentinel Butte,"1,045 m",46.871 / -103.835
North Dakota,Camel Butte,"1,037 m",46.003 / -103.72
North Dakota,Post Office Butte,"1,027 m",46.24 / -103.678
North Dakota,Bullion Butte,"1,020 m",46.681 / -103.597
North Dakota,West Rainy Butte,"1,020 m",46.496 / -103.046
North Dakota,Square Butte,"1,020 m",46.867 / -103.697
North Dakota,Slide Butte,"1,019 m",46.39 / -103.384
North Dakota,Rattlesnake Butte,"1,013 m",46.365 / -103.294
Ohio,Campbell Hill  ,471 m,40.37 / -83.72
Ohio,Mount Miserable,453 m,40.356 / -83.695
Ohio,Bristol Ridge,442 m,40.341 / -83.645
Ohio,Round Knob,437 m,40.672 / -80.672
Ohio,Bald Knob,434 m,40.291 / -83.695
Ohio,Hulse Hill,433 m,40.389 / -82.709
Ohio,Ralston Knob,430 m,40.78 / -82.637
Ohio,Connecting Ridge,423 m,39.67 / -80.916
Ohio,Sugarloaf,422 m,41.4 / -81.104
Ohio,Long Ridge,420 m,39.698 / -80.892
Oklahoma,Robbers Roost Peak,"1,362 m",36.944 / -102.932
Oklahoma,Blacksmith Canyon,"1,343 m",36.993 / -103
Oklahoma,Layton Canyon,"1,336 m",36.873 / -103.011
Oklahoma,Road Canyon,"1,312 m",36.96 / -102.933
Oklahoma,Coopers Arroyo,"1,308 m",36.961 / -102.948
Oklahoma,Road Canyon,"1,306 m",36.95 / -102.936
Oklahoma,Pat Canyon,"1,299 m",36.987 / -102.846
Oklahoma,Pat Canyon,"1,293 m",36.995 / -102.837
Oklahoma,Sand Canyon,"1,291 m",36.995 / -102.832
Oklahoma,Burrows Canyon,"1,290 m",36.927 / -102.892
Oregon,Mount Hood  ,"3,425 m",45.373 / -121.696
Oregon,Mount Jefferson  ,"3,189 m",44.674 / -121.8
Oregon,Triangle Moraine,"3,168 m",45.37 / -121.699
Oregon,South Sister,"3,152 m",44.104 / -121.77
Oregon,Three Sisters  ,"3,152 m",44.104 / -121.77
Oregon,Devils Kitchen,"3,133 m",45.37 / -121.699
Oregon,Hodge Crest,"3,053 m",44.1 / -121.764
Oregon,Middle Sister  ,"3,051 m",44.148 / -121.784
Oregon,North Sister,"3,039 m",44.166 / -121.773
Oregon,Steel Cliff,"2,995 m",45.367 / -121.698
Pennsylvania,Negro Mountain  ,978 m,39.786 / -79.177
Pennsylvania,Mount Davis  ,978 m,39.786 / -79.177
Pennsylvania,Baughman Rocks,961 m,39.793 / -79.171
Pennsylvania,Blue Knob  ,953 m,40.288 / -78.562
Pennsylvania,Glade Mountain,936 m,39.79 / -79.203
Pennsylvania,Herman Point  ,920 m,40.298 / -78.572
Pennsylvania,Ringer Hill,903 m,39.738 / -79.197
Pennsylvania,Shelter Rocks,903 m,39.773 / -79.169
Pennsylvania,Maust Hill,901 m,39.729 / -79.2
Pennsylvania,Schaefer Head  ,900 m,40.322 / -78.559
Rhode Island,Jerimoth Hill  ,247 m,41.849 / -71.779
Rhode Island,Durfee Hill,244 m,41.892 / -71.744
Rhode Island,Whites Hill,240 m,41.877 / -71.775
Rhode Island,Pine Hill,235 m,41.881 / -71.76
Rhode Island,Benson Mountain,226 m,41.992 / -71.796
Rhode Island,Mount Hygeia  ,224 m,41.852 / -71.761
Rhode Island,Chopmist Hill,223 m,41.841 / -71.67
Rhode Island,Badger Mountain,221 m,41.981 / -71.771
Rhode Island,Sprague Hill,217 m,41.904 / -71.729
Rhode Island,Pray Hill,216 m,41.856 / -71.739
South Carolina,Sassafras Mountain  ,"1,081 m",35.065 / -82.777
South Carolina,Hickorynut Mountain,"1,063 m",35.05 / -82.766
South Carolina,Pinnacle Mountain  ,"1,041 m",35.034 / -82.742
South Carolina,Coldbranch Mountain,"1,016 m",35.097 / -82.675
South Carolina,Slicking Mountain,"1,013 m",35.093 / -82.697
South Carolina,Rock Mountain,"1,003 m",35.042 / -82.774
South Carolina,Saluda Mountains  ,992 m,35.156 / -82.527
South Carolina,Fork Mountain,988 m,34.993 / -83.08
South Carolina,Caesars Head Mountain,980 m,35.106 / -82.628
South Carolina,Battered Rock Mountain,980 m,35.093 / -82.682
South Dakota,Harney Peak  ,"2,198 m",43.866 / -103.531
South Dakota,Odakota Mountain,"2,196 m",43.923 / -103.754
South Dakota,Green Mountain,"2,186 m",43.95 / -103.769
South Dakota,Bear Mountain  ,"2,185 m",43.87 / -103.744
South Dakota,Crooks Tower,"2,173 m",44.156 / -103.919
South Dakota,Terry Peak  ,"2,150 m",44.328 / -103.836
South Dakota,Crows Nest Peak,"2,147 m",44.055 / -103.963
South Dakota,White Tail Peak,"2,123 m",44.119 / -103.835
South Dakota,Copper Mountain,"2,111 m",43.937 / -103.741
South Dakota,Flag Mountain,"2,110 m",44.071 / -103.827
Tennessee,Clingmans Dome  ,"2,023 m",35.563 / -83.498
Tennessee,Mount Le Conte  ,"2,010 m",35.654 / -83.437
Tennessee,High Top,"2,004 m",35.654 / -83.437
Tennessee,Cliff Top,"1,993 m",35.654 / -83.444
Tennessee,Myrtle Point,"1,964 m",35.654 / -83.432
Tennessee,Mount Chapman  ,"1,958 m",35.687 / -83.271
Tennessee,Mount Love,"1,954 m",35.567 / -83.491
Tennessee,West Point,"1,931 m",35.655 / -83.453
Tennessee,Roan High Knob,"1,916 m",36.105 / -82.122
Tennessee,Mount Kephart  ,"1,895 m",35.631 / -83.39
Texas,Guadalupe Peak  ,"2,657 m",31.891 / -104.861
Texas,Guadalupe Mountains  ,"2,657 m",31.891 / -104.861
Texas,Bush Mountain  ,"2,626 m",31.93 / -104.88
Texas,Shumard Peak,"2,621 m",31.908 / -104.874
Texas,Bartlett Peak,"2,590 m",31.918 / -104.882
Texas,Baldy Peak,"2,537 m",30.635 / -104.173
Texas,Blue Ridge,"2,522 m",31.943 / -104.881
Texas,Hunter Peak,"2,517 m",31.913 / -104.83
Texas,Mount Livermore  ,"2,492 m",30.633 / -104.167
Texas,El Capitan  ,"2,458 m",31.877 / -104.858
Utah,Kings Peak  ,"4,122 m",40.776 / -110.373
Utah,South Kings Peak  ,"4,116 m",40.766 / -110.378
Utah,Gilbert Peak  ,"4,095 m",40.823 / -110.34
Utah,Mount Emmons  ,"4,090 m",40.712 / -110.303
Utah,Mount Lovenia,"4,020 m",40.757 / -110.607
Utah,Tokewanna Peak,"4,016 m",40.81 / -110.624
Utah,Wasatch,"4,010 m",40.783 / -110.624
Utah,Mount Powell  ,"4,009 m",40.796 / -110.425
Utah,Wilson Peak,"3,968 m",40.776 / -110.462
Utah,Squaw Peak,"3,919 m",40.701 / -110.643
Vermont,Mount Mansfield  ,"1,337 m",44.544 / -72.814
Vermont,The Chin,"1,337 m",44.544 / -72.814
Vermont,Killington Peak  ,"1,288 m",43.605 / -72.82
Vermont,Adams Apple,"1,256 m",44.546 / -72.81
Vermont,Camels Hump  ,"1,239 m",44.32 / -72.886
Vermont,Mount Ellen  ,"1,234 m",44.16 / -72.929
Vermont,The Nose,"1,229 m",44.526 / -72.815
Vermont,Mount Abraham  ,"1,207 m",44.12 / -72.936
Vermont,Pico Peak  ,"1,203 m",43.64 / -72.836
Vermont,Lincoln Mountain,"1,199 m",44.154 / -72.929
Virginia,Mount Rogers  ,"1,746 m",36.66 / -81.545
Virginia,Whitetop Mountain  ,"1,684 m",36.639 / -81.605
Virginia,Pine Mountain,"1,684 m",36.657 / -81.521
Virginia,Buzzard Rock,"1,553 m",36.635 / -81.617
Virginia,Haw Orchard Mountain,"1,526 m",36.63 / -81.51
Virginia,Cabin Ridge,"1,517 m",36.631 / -81.528
Virginia,Elk Garden Ridge,"1,514 m",36.655 / -81.571
Virginia,Beech Mountain,"1,513 m",36.636 / -81.626
Virginia,Brier Ridge,"1,511 m",36.632 / -81.55
Virginia,Stone Mountain,"1,503 m",36.671 / -81.476
Washington,Columbia Crest,"4,395 m",46.853 / -121.76
Washington,Cascade Range  ,"4,392 m",46.853 / -121.76
